ID,LOCATION,ADDRESS,LAT,LONG
83730351,Ruddertown Kiosk,113 Dickinson Street Dewey Beach DE 19971,38.6900344,-75.0761719
83730365,The Rusty Rudder,113 Dickinson Street Dewey Beach DE 19971,38.6900344,-75.0761719
P328468,KEENANS IRISH PUB I,113 Olde New Jersey Ave North Wildwood NJ 08260,39.0081343,-74.7931801
P328469,KEENANS IRISH PUB II,113 Olde New Jersey Ave North Wildwood NJ 08260,39.0081343,-74.7931801
P328470,KEENANS IRISH PUB III,113 Olde New Jersey Ave North Wildwood NJ 08260,39.0081343,-74.7931801
83730245,Dover Downs - Atrium,1131 N DuPont Hwy Dover DE 19901,39.1888607,-75.532947
83730241,Dover Downs - Hallway I,1131 N Dupont Hwy Dover DE 19901,39.1888607,-75.532947
83730244,Dover Downs - Hallway II,1131 N DuPont Hwy Dover DE 19901,39.1888607,-75.532947
83730242,Dover Downs - Sports Betting,1131 N DuPont Hwy Dover DE 19901,39.1888607,-75.532947
83730243,Dover Downs - Video Blackjack,1131 N DuPont Hwy Dover DE 19901,39.1888607,-75.532947
,College Square Banking Office,115 Grove Lane Newark DE 19711,39.6837226,-75.7496572
P328363,BENNIES BREAD,1159 Asbury Ave Ocean City NJ 08226,39.2755567,-74.5802417
83730470,Grotto Pizza - Dover,1159 N DuPont Hwy Dover DE 19901,39.1877528,-75.537405
83730607,Mann Investments dba State Line Cigarette Outlet,1168 Elkton Rd Newark DE 19711,39.6549718,-75.7887904
SR002984,Walmart #2555,117 Wilton Boulevard New Castle DE 19720,39.6536612,-75.6220817
N1080705,Walgreen's - Milton Park #11073,120 Broadkill Road Milton DE 19968,38.8178435,-75.2496607
83730740,Wesley College,120 N State St Dover DE 19901,39.1626115,-75.5280339
W1089142,Wyoming Island DU,120 W Camden Wyoming Ave Wyoming DE 19934,39.1175254,-75.5579192
83730451,Trilogy Salon & Spa,1200 Capital Trail Newark DE 19711,39.6964765,-75.7111169
83730450,DRBA - Cape May,1200 Lincoln Blvd North Cape May NJ 08204,38.9689779,-74.9604683
83730630,Delaware State University - Library,1200 N DuPont Hwy Dover DE 19901,39.1883384,-75.5397644
83730487,Delaware State University - Student Center,1200 N. DuPont Hwy Dover DE 19901,39.1883384,-75.5397644
,Havertown Banking Office,1200 W Township Line Road Havertown PA 19083,39.9582033,-75.3186572
P333368,AMERICAN STAR,1200 Welsh Rd North Wales PA 19454,40.2267924,-75.2579171
83730755,1201 N Market Street LLC,1201 N Market St Wilmington DE 19801,39.7478527,-75.5467527
83730232,Steve''s Discount Liquors,1204 Centerville Road Wilmington DE 19808,39.7311949,-75.619854
N1080689,Walgreen's - State Street #11061,1215 South State Street Dover DE 19901,39.1428351,-75.5221198
,Granite Run Banking Office,1238 West Baltimore Pike Media PA 19063,39.9109509,-75.4421428
N1080660,Walgreen's - Newark Main Street #11008,124 East Main Street Newark DE 19711,39.6837896,-75.7483237
,Phoenixville Banking Office,124 Main St. Phoenixville PA 19460,40.1318143,-75.515796
P318904,"BJs - New Castle, DE #15",124 Sunset Boulevard New Castle DE 19720,39.6687393,-75.5967793
83730364,North Beach Restaurant,125 McKinley Street Dewey Beach DE 19971,38.6931066,-75.0769545
SR002980,Walmart #5436,1251 Centerville Road Wilmington DE 19808,39.7337396,-75.6184446
P303317,"BJs - Springfield, PA #56",1260 East Woodland Avenue Springfield PA 19064,39.9090639,-75.330468
N1080649,Walgreen's - Fox Run #11022,128 Fox Hunt Drive Bear DE 19701,39.6063703,-75.7130933
83730613,Uncle Willies - Felton BP #13,12984 South DuPont Highway Felton DE 19943,38.9841608,-75.5677659
